"RV264U: MARRIAGES by Year, Type of settlement region, Place of residence of groom and Month of contracting the marriage"

"Year","Type of settlement region","Place of residence of groom","Months total","January","February","March","April","May","June","July","August","September","October","November","December"
"2021","City and town settlement region","Võru county",35,1,1,2,3,5,3,4,8,2,1,2,3
"2021","City and town settlement region","Place of residence in Estonia unknown",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","Rural settlement region","Total",1566,49,82,81,75,118,173,290,258,111,117,101,111
"2021","Rural settlement region","Place of residence unknown",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","Rural settlement region","Place of residence outside of Estonia",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","Rural settlement region","Place of residence in Estonia",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","Rural settlement region","Harju county",296,18,13,13,6,21,39,48,60,26,15,21,16
"2021","Rural settlement region","..Tallinn",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","Rural settlement region","Hiiu county",0,0,2,0,4,2,2,8,5,2,0,1,3
"2021","Rural settlement region","Ida-Viru county",104,4,9,8,5,5,12,7,17,11,9,5,12
"2021","Rural settlement region","Jõgeva county",73,3,4,1,3,4,9,13,11,7,7,7,4
"2021","Rural settlement region","Järva county",70,3,4,1,6,9,4,13,8,6,7,3,6
"2021","Rural settlement region","Lääne county",0,0,3,2,3,3,4,7,6,0,2,3,3
"2021","Rural settlement region","Lääne-Viru county",138,6,6,10,6,8,10,34,18,8,12,12,8
