"Aasta","Asustuspiirkonna liik","Mehe elukoht","Kuud kokku","Jaanuar","Veebruar","Märts","Aprill","Mai","Juuni","Juuli","August","September","Oktoober","November","Detsember"
"2020","Linnaline ja väikelinnaline asustuspiirkond","Hiiu maakond",0,0,0,0,0,0,0,0,0,0,0,0,0
"2020","Linnaline ja väikelinnaline asustuspiirkond","Ida-Viru maakond",272,20,24,18,14,13,15,32,26,31,25,28,26
"2020","Linnaline ja väikelinnaline asustuspiirkond","Jõgeva maakond",10,1,0,1,0,1,2,0,1,1,2,1,0
"2020","Linnaline ja väikelinnaline asustuspiirkond","Järva maakond",22,0,2,2,2,1,1,0,4,2,1,6,1
"2020","Linnaline ja väikelinnaline asustuspiirkond","Lääne maakond",13,1,0,2,1,1,2,1,1,1,2,0,1
"2020","Linnaline ja väikelinnaline asustuspiirkond","Lääne-Viru maakond",33,3,3,0,5,2,2,3,3,5,4,3,0
"2020","Linnaline ja väikelinnaline asustuspiirkond","Põlva maakond",12,2,1,1,0,1,0,2,1,2,0,2,0
"2020","Linnaline ja väikelinnaline asustuspiirkond","Pärnu maakond",75,5,6,6,6,6,10,8,3,9,7,2,7
"2020","Linnaline ja väikelinnaline asustuspiirkond","Rapla maakond",6,0,0,2,0,1,2,1,0,0,0,0,0
"2020","Linnaline ja väikelinnaline asustuspiirkond","Saare maakond",17,2,0,1,1,0,0,2,3,1,3,4,0
"2020","Linnaline ja väikelinnaline asustuspiirkond","Tartu maakond",137,8,14,11,8,10,7,11,16,14,10,16,12
"2020","Linnaline ja väikelinnaline asustuspiirkond","Valga maakond",26,4,2,1,3,0,4,1,2,1,3,3,2
"2020","Linnaline ja väikelinnaline asustuspiirkond","Viljandi maakond",22,0,6,0,1,0,1,3,2,2,3,2,2
"2020","Linnaline ja väikelinnaline asustuspiirkond","Võru maakond",10,0,2,3,0,0,1,0,1,0,0,0,3
"2020","Maaline asustuspiirkond","Kokku",753,53,55,61,32,33,66,81,76,84,73,69,70
"2020","Maaline asustuspiirkond","Harju maakond",165,12,8,18,2,7,13,13,15,18,23,16,20
"2020","Maaline asustuspiirkond","Hiiu maakond",17,1,3,1,0,0,3,1,4,2,2,0,0
"2020","Maaline asustuspiirkond","Ida-Viru maakond",73,3,2,6,1,2,4,9,9,16,10,8,3
"2020","Maaline asustuspiirkond","Jõgeva maakond",40,2,5,2,4,2,4,5,3,1,5,1,6
"2020","Maaline asustuspiirkond","Järva maakond",23,2,2,2,1,0,3,1,1,3,0,5,3
"2020","Maaline asustuspiirkond","Lääne maakond",25,1,1,4,3,0,1,3,2,2,3,4,1
"2020","Maaline asustuspiirkond","Lääne-Viru maakond",57,6,1,6,4,4,4,6,11,7,1,1,6
"2020","Maaline asustuspiirkond","Põlva maakond",27,0,4,3,0,0,1,3,5,5,2,0,4
